[2026-03-13 21:18:36.438] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.451] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.463] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.477] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.490] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.505] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.519] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.535] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.550] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.565] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.578] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.593] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.610] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.624] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.638] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.654] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.670] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.685] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.698] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.713] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.729] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.743] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.758] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.772] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.786] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.801] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.816] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.830] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.843] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.854] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.866] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.879] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:36.891] [debug] 显示图像大小: 640x512
